"","feature","task","shap_phi","fname","group","taxa"
"1763","silt",49,32.6278436876927,"silt","structural","Lurube"
"1764","wr",49,16.0197352933604,"wr","hydro","Lurube"
"1765","awc_top",50,81.3668483126667,"awc_top","hydro","LuRube_Ca"
"1766","bio_1",50,19.0745574064134,"TMeanY","temperature","LuRube_Ca"
"1767","bio_10",50,14.3979303188956,"TMeanWarmQ","temperature","LuRube_Ca"
"1768","bio_11",50,24.2640984100934,"TMeanColdQ","temperature","LuRube_Ca"
"1769","bio_12",50,21.4324021039002,"PTotY","precipitation","LuRube_Ca"
"1770","bio_13",50,54.6898501035454,"PWetM","precipitation","LuRube_Ca"
"1771","bio_14",50,19.8473419699078,"PDryM","precipitation","LuRube_Ca"
"1772","bio_15",50,45.2044603620946,"PSeason","precipitation","LuRube_Ca"
"1773","bio_16",50,4.90036495451784,"PWetQ","precipitation","LuRube_Ca"
"1774","bio_17",50,15.6603458752892,"PDryQ","precipitation","LuRube_Ca"
"1775","bio_18",50,38.6731657579292,"PWarmQ","precipitation","LuRube_Ca"
"1776","bio_19",50,66.3062789596999,"PColdQ","precipitation","LuRube_Ca"
"1777","bio_2",50,74.9777532851201,"TMeanRngD","temperature","LuRube_Ca"
"1778","bio_3",50,91.9368992478126,"TIso","temperature","LuRube_Ca"
"1779","bio_4",50,11.8623710157291,"TSeason","temperature","LuRube_Ca"
"1780","bio_5",50,13.3082207177961,"TMaxWarmM","temperature","LuRube_Ca"
"1781","bio_6",50,10.5408865972813,"TMinColdM","temperature","LuRube_Ca"
"1782","bio_7",50,30.954713488529,"TRngY","temperature","LuRube_Ca"
"1783","bio_8",50,60.5989905371956,"TMeanWetQ","temperature","LuRube_Ca"
"1784","bio_9",50,74.0872543139109,"TMeanDryQ","temperature","LuRube_Ca"
"1785","bs_top",50,9.68188810271764,"bs_top","hydro","LuRube_Ca"
"1786","Carbone",50,7.06242970700372,"C","physchem","LuRube_Ca"
"1787","cec_top",50,11.8341014616676,"cec_top","hydro","LuRube_Ca"
"1788","clay",50,61.111470475071,"clay","structural","LuRube_Ca"
"1789","clc",50,44.0488817251426,"clc","landcover","LuRube_Ca"
"1790","CN",50,68.2572212584251,"CN","physchem","LuRube_Ca"
"1791","crusting",50,30.6103862937817,"crusting","structural","LuRube_Ca"
"1792","dgh",50,37.2483354827648,"dgh","structural","LuRube_Ca"
"1793","dimp",50,13.190978138017,"dimp","structural","LuRube_Ca"
